0,124356
1,119151
2,141996
3,130899
4,120097
5,137908
6,87338
7,152039
8,125036
9,108090
10,130710
11,117133
12,121019
13,95749
14,98473
15,146751
16,128346
17,98409
18,113270
19,123975
20,155160
21,84498
22,128675
23,100345
24,131141
25,120317
26,136997
27,98702
28,119504
29,122546
30,155936
31,135149
32,124109
33,138565
34,137006
35,152566
36,130913
37,109028
38,135801
39,131839
40,94937
41,162034
42,120381
43,149940
44,142498
45,118102
46,171061
47,117973
48,132983
49,142697
50,152723
51,118581
52,146792
53,120387
54,116264
55,125449
56,137796
57,136780
58,129590
59,132949
60,126910
61,158320
62,110352
63,106897
64,84947
65,136791
66,108591
67,136999
68,141503
69,132059
70,138116
71,112991
72,138362
73,100366
74,148402
75,140683
76,148135
77,136683
78,144659
79,113780
80,96893
81,128093
82,139698
83,131850
84,100871
85,147630
86,139877
87,120677
88,153539
89,154354
90,138273
91,127588
92,110942
93,120100
94,115071
95,126575
96,125895
97,120510
98,185932
99,118854
