0,124733
1,138321
2,101102
3,69957
4,128805
5,106457
6,122024
7,118059
8,135636
9,137163
10,104511
11,107986
12,123896
13,111027
14,117870
15,123203
16,122042
17,131566
18,99977
19,110802
20,107520
21,87217
22,114016
23,138415
24,109639
25,133394
26,102699
27,128975
28,118074
29,128890
30,125033
31,123433
32,141361
33,136363
34,117126
35,92271
36,138189
37,154398
38,106567
39,121398
40,105927
41,158461
42,149027
43,158705
44,126322
45,93858
46,111806
47,77255
48,137133
49,132943
50,97979
51,137534
52,91681
53,115427
54,89095
55,116986
56,139968
57,141588
58,135240
59,106936
60,128381
61,110124
62,112913
63,121509
64,116895
65,124547
66,145509
67,108464
68,114814
69,115505
70,163013
71,110893
72,112892
73,115731
74,93242
75,104018
76,132249
77,99071
78,130141
79,148221
80,129323
81,144065
82,125677
83,114408
84,113800
85,113806
86,114653
87,106204
88,86736
89,105184
90,138631
91,130912
92,108901
93,118796
94,151833
95,117891
96,111437
97,118588
98,177187
99,122888
