0,173358
1,160540
2,192237
3,159909
4,160072
5,184124
6,128994
7,209120
8,166264
9,169389
10,205989
11,146696
12,171941
13,158952
14,157416
15,200647
16,184747
17,162162
18,146523
19,160548
20,203498
21,143869
22,170721
23,155493
24,172472
25,161206
26,193302
27,168312
28,160634
29,166833
30,208367
31,165907
32,179887
33,163859
34,199994
35,206217
36,185264
37,150581
38,182157
39,177260
40,152267
41,215414
42,182231
43,174062
44,174646
45,172567
46,203474
47,158814
48,181704
49,183092
50,195751
51,169085
52,185923
53,174399
54,160326
55,155558
56,175445
57,178888
58,183680
59,178499
60,178675
61,190918
62,167542
63,172482
64,115624
65,169909
66,168728
67,197668
68,180452
69,179207
70,189319
71,191980
72,180759
73,154101
74,199674
75,198408
76,192793
77,183633
78,208036
79,169911
80,152787
81,178884
82,192619
83,162115
84,172905
85,180291
86,174943
87,155982
88,201703
89,206511
90,175262
91,191183
92,162342
93,160947
94,172547
95,187126
96,179069
97,158643
98,216008
99,177702
