ip,selfish,total_packet_size
0,0,602
1,0,293
2,0,671
3,0,1070
4,0,1709
5,1,0
6,0,323
7,0,0
8,0,1269
9,0,0
10,1,1089
11,1,1372
12,0,1084
13,1,398
14,0,1253
15,0,0
16,0,834
17,1,0
18,0,0
19,0,985
20,0,368
21,0,510
22,0,1219
23,0,0
24,0,0
25,0,1168
26,0,1709
27,0,535
28,0,468
29,0,510
