ip,selfish,total_packet_size
0,0,84835
1,0,96884
2,0,93182
3,0,121130
4,0,121348
5,0,105454
6,0,110469
7,1,84211
8,0,115978
9,0,113625
10,0,97839
11,0,76778
12,1,92864
13,1,126976
14,1,101638
15,0,80893
16,0,123202
17,0,122810
18,0,104730
19,0,93856
20,0,121212
21,0,112818
22,0,68087
23,1,124116
24,0,116933
25,1,108867
26,0,101713
27,1,75291
28,0,110684
29,0,117682
30,0,120143
31,0,115746
32,0,78711
33,0,105979
34,0,102807
35,0,102627
36,1,117713
37,1,99984
38,0,99636
39,1,100157
40,0,110113
41,0,79620
42,0,95595
43,0,101696
44,0,106611
45,0,98185
46,0,86784
47,0,108387
48,0,127435
49,1,142816
50,0,87260
51,0,177138
52,0,109034
53,1,93044
54,1,84227
55,0,79864
56,0,98999
57,1,151996
58,0,85785
59,1,122680
60,0,112148
61,1,52388
62,0,145630
63,0,87442
64,0,101352
65,0,85367
66,0,113474
67,1,85066
68,0,74682
69,0,133060
70,0,90488
71,0,122925
72,0,88968
73,0,96332
74,0,84658
75,1,82603
76,1,107338
77,0,108006
78,0,122095
79,0,99796
80,0,87830
81,0,99452
82,1,78600
83,1,134334
84,0,71152
85,0,65239
86,0,137074
87,0,114514
88,0,109958
89,1,148954
90,0,82253
91,0,112118
92,0,90127
93,0,106820
94,0,138473
95,1,90250
96,0,99597
97,0,128933
98,0,109386
99,0,112258
100,0,117919
101,0,97003
102,0,103481
103,1,119324
104,0,73252
105,0,106136
106,0,122026
107,1,75391
108,1,103446
109,1,131431
110,0,102376
111,0,124534
112,0,114993
113,0,76776
114,1,84576
115,0,128405
116,0,87207
117,0,102001
118,0,104872
119,0,77517
120,0,106827
121,0,125890
122,0,103950
123,0,86553
124,0,108937
125,0,111381
126,0,119745
127,0,104038
128,0,110048
129,1,98274
130,0,105045
131,0,110890
132,1,99373
133,1,96424
134,0,84733
135,0,83701
136,0,100241
137,0,86886
138,0,86608
139,1,116424
140,0,110426
141,1,105158
142,0,146744
143,0,110156
144,1,85642
145,0,83764
146,0,77949
147,0,118459
148,0,124409
149,0,87946
150,1,106845
151,1,122494
152,1,121218
153,0,144171
154,0,118373
155,0,138639
156,1,95647
157,0,126469
158,0,86943
159,0,88919
160,0,100896
161,0,117013
162,0,130779
163,1,123644
164,0,94821
165,1,123834
166,0,138444
167,0,121454
168,0,101243
169,0,81052
170,0,102749
171,0,168905
172,0,83029
173,0,108875
174,0,111378
175,0,118196
176,0,81402
177,0,105602
178,0,140762
179,0,137314
180,0,86452
181,0,115675
182,0,105519
183,0,104194
184,0,149542
185,1,114462
186,0,101268
187,0,116773
188,0,126939
189,1,81387
190,0,82186
191,0,95317
192,1,118704
193,0,71519
194,0,84946
195,0,123320
196,1,114167
197,0,111428
198,0,73663
199,0,107783
