ip,selfish,total_packet_size
0,0,127771
1,0,131863
2,0,141947
3,0,106687
4,0,114787
5,0,81993
6,0,124246
7,0,119122
8,0,111997
9,0,92119
10,0,95251
11,0,130630
12,0,120909
13,0,98811
14,0,127165
15,0,125383
16,0,120006
17,0,126520
18,0,126468
19,0,116338
20,0,105955
21,0,126991
22,0,126219
23,0,110773
24,0,118872
25,0,90001
26,0,130003
27,0,123524
28,0,132053
29,0,119121
30,0,72003
31,0,113116
32,0,135918
33,0,108602
34,0,125976
35,0,114384
36,0,113015
37,0,98028
38,0,106303
39,0,106798
40,0,140000
41,0,107941
42,0,106387
43,0,99292
44,0,118565
45,0,113768
46,0,134781
47,0,148389
48,0,119594
49,0,179909
50,0,114706
51,0,111201
52,0,104756
53,0,99763
54,0,106263
55,0,150147
56,0,119079
57,0,149158
58,0,117144
59,0,109643
60,0,145434
61,0,98270
62,0,101430
63,0,115756
64,0,127533
65,0,115297
66,0,102987
67,0,129890
68,0,109606
69,0,129738
70,0,106254
71,0,138019
72,0,115897
73,0,102375
74,0,112743
75,0,108298
76,0,155330
77,0,112260
78,0,120787
79,0,116503
80,0,111941
81,0,133149
82,0,90712
83,0,89529
84,0,139822
85,0,116051
86,0,118127
87,0,150621
88,0,92503
89,0,106377
90,0,108053
91,0,107250
92,0,142524
93,0,90516
94,0,95471
95,0,127569
96,0,111825
97,0,112354
98,0,119596
99,0,116039
100,0,133477
101,0,109542
102,0,93164
103,0,122193
104,0,127641
105,0,124841
106,0,106585
107,0,141903
108,0,125619
109,0,125053
110,0,121361
111,0,117410
112,0,112906
113,0,134731
114,0,89170
115,0,120324
116,0,135813
117,0,105789
118,0,111737
119,0,127130
120,0,103527
121,0,108855
122,0,120223
123,0,114692
124,0,121583
125,0,115724
126,0,110790
127,0,105540
128,0,105895
129,0,119639
130,0,100867
131,0,97278
132,0,103845
133,0,112079
134,0,100258
135,0,128568
136,0,107017
137,0,114012
138,0,112589
139,0,102702
140,0,158955
141,0,125709
142,0,100954
143,0,93830
144,0,92504
145,0,120319
146,0,132295
147,0,101043
148,0,115442
149,0,138546
150,0,123094
151,0,139778
152,0,109355
153,0,137098
154,0,96903
155,0,124386
156,0,105697
157,0,92228
158,0,129081
159,0,130688
160,0,148352
161,0,118412
162,0,107424
163,0,126337
164,0,138731
165,0,115735
166,0,111320
167,0,100518
168,0,105533
169,0,172474
170,0,117726
171,0,108524
172,0,109636
173,0,123185
174,0,75333
175,0,115412
176,0,138703
177,0,138146
178,0,96332
179,0,117478
180,0,100316
181,0,130950
182,0,150088
183,0,114605
184,0,108886
185,0,153879
186,0,121580
187,0,115829
188,0,103895
189,0,122205
190,0,120627
191,0,82668
192,0,109543
193,0,140937
194,0,133830
195,0,107558
196,0,73721
197,0,118954
198,0,107897
199,0,104725
