ip,selfish,total_packet_size
0,0,144832
1,0,141620
2,0,144057
3,0,160090
4,0,125235
5,0,135705
6,0,142762
7,0,113372
8,0,181122
9,0,149575
10,0,143316
11,0,153893
12,0,163759
13,0,131408
14,0,140970
15,0,143209
16,0,144701
17,0,142325
18,0,148015
19,0,155274
20,0,122310
21,0,167248
22,0,148390
23,0,159596
24,0,111053
25,0,139558
26,0,151912
27,0,136291
28,0,156242
29,1,150466
30,0,165159
31,0,135278
32,0,138036
33,0,154523
34,0,160195
35,0,116324
36,0,133048
37,0,128272
38,0,134960
39,0,132073
40,0,157268
41,0,187656
42,0,158615
43,1,132334
44,0,146055
45,0,136632
46,0,155441
47,0,157917
48,0,143811
49,0,148049
50,0,141805
51,0,137474
52,0,140547
53,0,143800
54,0,117259
55,0,126589
56,0,167799
57,0,164838
58,1,113847
59,0,164437
60,0,145393
61,0,153789
62,0,164808
63,0,147140
64,1,131141
65,0,117714
66,0,145795
67,1,148754
68,0,151183
69,0,125510
70,1,171891
71,0,153732
72,0,169680
73,0,116698
74,1,145764
75,1,148839
76,0,122550
77,0,155638
78,0,150192
79,0,137608
80,0,147146
81,1,153557
82,0,135405
83,0,181649
84,0,121620
85,0,119840
86,0,176781
87,0,143694
88,0,121137
89,0,168645
90,1,99649
91,0,147645
92,0,137727
93,0,159895
94,0,151427
95,0,134997
96,0,136799
97,0,136903
98,0,152443
99,0,154404
