ip,selfish,total_packet_size
0,0,0
1,0,1920
2,0,1187
3,1,1824
4,0,2808
5,0,3056
6,0,1222
7,0,816
8,0,665
9,0,888
10,0,3041
11,0,911
12,0,0
13,0,2587
14,0,1553
15,0,2935
16,0,1834
17,0,1060
18,0,1072
19,0,2268
